prov,sgg,dong_norm,median_apt_price_sqm
Gyeonggi,수원,매산로1가,492.7015699297749
Gyeonggi,수원,매산로2가,835.5890314228551
Gyeonggi,수원,매산로3가,440.08483563096496
Gyeonggi,수원,매탄동,722.8051798461044
Gyeonggi,수원,서둔동,949.4199602060843
Gyeonggi,수원,세류동,839.2047852549384
Gyeonggi,수원,송죽동,576.3042053667867
Gyeonggi,수원,신동,947.7278078643749
Gyeonggi,수원,연무동,330.62819356777874
Gyeonggi,수원,영통동,804.5872032632034
Gyeonggi,수원,영화동,278.0985878965836
Gyeonggi,수원,오목천동,569.3694819604896
Gyeonggi,수원,우만동,768.5383926053082
Gyeonggi,수원,원천동,951.0461602972616
Gyeonggi,수원,율전동,509.0120160213618
Gyeonggi,수원,이목동,891.624911034414
Gyeonggi,수원,이의동,1373.8001553031927
Gyeonggi,수원,인계동,523.0914231856739
Gyeonggi,수원,입북동,647.313980647314
Gyeonggi,수원,정자동,735.6403013182675
Gyeonggi,수원,조원동,615.2689125017125
Gyeonggi,수원,지동,372.0808968676673
Gyeonggi,수원,천천동,735.3105540006189
Gyeonggi,수원,탑동,316.1375661375662
Gyeonggi,수원,파장동,375.5624783662167
Gyeonggi,수원,평동,618.0563667406467
Gyeonggi,수원,하동,1203.3231744097968
Gyeonggi,수원,호매실동,742.1615235330919
Gyeonggi,수원,화서동,825.1359065175417
Gyeonggi,시흥,거모동,246.81528662420382
Gyeonggi,시흥,광석동,929.478468454795
Gyeonggi,시흥,군자동,909.63251200513
Gyeonggi,시흥,논곡동,934.4281716744787
Gyeonggi,시흥,능곡동,694.3676713774316
Gyeonggi,시흥,대야동,540.0665730316753
Gyeonggi,시흥,도창동,441.2629927436752
Gyeonggi,시흥,매화동,303.18139300584096
Gyeonggi,시흥,목감동,1005.2329555572151
Gyeonggi,시흥,미산동,196.93654266958424
Gyeonggi,시흥,배곧동,848.0787632553057
Gyeonggi,시흥,산현동,855.7002227059504
Gyeonggi,시흥,신천동,365.33387456870304
Gyeonggi,시흥,월곶동,482.5538233110616
Gyeonggi,시흥,은행동,536.1598295126348
Gyeonggi,시흥,장곡동,557.1114222844569
Gyeonggi,시흥,장현동,571.7649037248801
Gyeonggi,시흥,정왕동,410.7327141382869
Gyeonggi,시흥,조남동,913.11492933455
Gyeonggi,시흥,죽율동,505.9418755147665
Gyeonggi,시흥,포동,367.63861992491735
Gyeonggi,시흥,하상동,450.9018036072144
Gyeonggi,시흥,하중동,414.81481481481484
Gyeonggi,안산,건건동,501.1652392181894
Gyeonggi,안산,고잔동,692.1675774134791
Gyeonggi,안산,본오동,513.9110402268298
Gyeonggi,안산,부곡동,246.00246002460025
Gyeonggi,안산,사동,488.4442301344153
Gyeonggi,안산,사사동,330.9238711860282
Gyeonggi,안산,선부동,574.9149360553795
Gyeonggi,안산,성포동,618.6086874941365
Gyeonggi,안산,수암동,328.62007565253896
Gyeonggi,안산,신길동,471.331275186765
Gyeonggi,안산,와동,390.4117716862466
Gyeonggi,안산,원곡동,612.379967638074
Gyeonggi,안산,월피동,558.569419328913
Gyeonggi,안산,이동,556.2754121799741
Gyeonggi,안산,장상동,280.9818343920651
Gyeonggi,안산,초지동,552.7043031977893
Gyeonggi,안성,가사동,369.878855707448
Gyeonggi,안성,건지리,109.67584694126249
Gyeonggi,안성,금산동,212.87642782969883
Gyeonggi,안성,금석동,127.08546135512427
Gyeonggi,안성,기좌리,132.17454282093067
Gyeonggi,안성,낙원동,131.21063680895733
Gyeonggi,안성,내리,171.48526077097506
Gyeonggi,안성,당왕동,266.0451099496163
Gyeonggi,안성,동본동,147.8240302743614
Gyeonggi,안성,마정리,154.17060919751256
Gyeonggi,안성,만정리,290.66112838222904
Gyeonggi,안성,반제리,209.48550360315065
Gyeonggi,안성,보체리,170.52449925480792
Gyeonggi,안성,봉산동,151.13350125944586
Gyeonggi,안성,석정동,343.1802896711732
Gyeonggi,안성,송천리,142.88731781866977
Gyeonggi,안성,숭인동,169.73125884016974
