elec,level,channel,source,n_units,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_ext,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag_which,n_iter,parcomp,elapsed,leader_side
pres17,constituency,total_no_early,joint_null,248,0.9278,0.837,0.9775,0.0678,0.0028,0.0706,427451.8,33059.0,1197442.7,930912.8,63985.0,2621209.4,10,3.7962,True,0.0971,0.0972,0.0001,0.0045,0.001,0.9931,"pi1, pi2",5000,FALSE,240.9,dem
pres17,dong,total_no_early,real,3576,0.9276,0.9094,0.9389,0.0722,0.0002,0.0724,328795.8,22090.0,877469.9,882176.7,58183.0,2360707.0,165,2.4903,True,0.0172,0.0169,0.0003,1.0,0.9979,1.0,,3000,TRUE,1478.5,dem
pres17,dong,total_no_early,marginal_null,3576,0.9364,0.879,0.9477,0.0633,0.0002,0.0635,374372.2,10434.0,1080338.9,965803.1,24158.0,2814636.8,158,7.9859,True,0.0561,0.0561,0.0,0.0,0.0,1.0,"pi1, pi2",3000,TRUE,1916.5,dem
pres17,dong,total_no_early,joint_null,3576,0.9294,0.9166,0.9408,0.0703,0.0002,0.0705,353798.1,21752.0,930754.0,925051.0,57634.0,2418095.0,149,1.9264,True,0.0118,0.0118,0.0,0.9945,1.0,1.0,,3000,TRUE,1742.3,dem
pres18,constituency,total_no_early,real,251,0.8253,0.7622,0.8907,0.168,0.0046,0.1726,1746424.2,169518.1,4796605.6,3602441.3,347815.2,9843219.8,21,1.8447,True,0.0597,0.0597,0.0045,0.9987,0.998,0.9959,,5000,FALSE,243.5,dem
pres18,constituency,total_no_early,marginal_null,251,0.8019,0.7195,0.8765,0.1942,0.0028,0.197,2171404.1,158283.1,6101968.5,4346161.6,320098.1,12121903.0,22,2.3661,True,0.0918,0.0917,0.0005,0.9731,0.9339,0.9957,,5000,FALSE,242.8,dem
pres18,constituency,total_no_early,joint_null,251,0.7959,0.7264,0.8552,0.1999,0.0029,0.2027,1989052.2,11141.0,5552981.6,4171828.5,24679.0,11569576.0,24,1.6157,True,0.0598,0.0595,0.0005,0.9976,1.0,1.0,,5000,FALSE,242.0,dem
pres18,dong,total_no_early,real,3479,0.8328,0.8161,0.8782,0.1658,0.0014,0.1672,1364304.3,38236.0,4426902.0,3236794.3,83047.1,10509480.9,291,4.5041,True,0.0448,0.0451,0.0005,0.0,0.0,0.9705,"pi1, pi2",3000,TRUE,1263.3,dem
pres18,dong,total_no_early,marginal_null,3479,0.8249,0.8056,0.8432,0.1732,0.0016,0.1748,1581076.6,94488.1,4653914.0,3739725.0,196972.1,11232412.9,361,2.0382,True,0.0162,0.0154,0.002,0.9947,0.6388,0.9965,,5000,FALSE,5586.9,dem
pres18,dong,total_no_early,joint_null,3479,0.8265,0.8115,0.841,0.1728,0.0006,0.1734,1152759.1,66552.0,3561160.9,3082362.3,163377.0,9461491.9,351,1.4406,True,0.0071,0.0065,0.0009,0.9973,1.0,0.6378,,5000,FALSE,5585.6,dem
20,constituency,early,real,234,0.9906,0.9708,0.9998,0.0044,0.003,0.0073,1005.4,0.0,4804.0,35169.4,0.0,147155.9,0,1.9073,True,0.0129,0.0131,0.0007,0.9954,1.0,1.0,,3000,TRUE,63.4,dem
20,constituency,early,marginal_null,234,0.9776,0.9449,0.998,0.0182,0.0029,0.0211,11129.4,0.0,45184.0,189115.5,0.0,708163.2,0,2.1704,True,0.0302,0.0299,0.0004,0.9983,0.9935,0.9984,,3000,TRUE,49.5,dem
20,constituency,early,joint_null,234,0.9835,0.9187,0.9997,0.0116,0.003,0.0146,6430.1,0.0,32925.0,189027.0,0.0,820314.1,0,4.0319,True,0.0596,0.0593,0.0007,0.0,0.0,0.9965,"pi1, pi2",3000,TRUE,50.4,dem
20,constituency,early_out,real,234,0.9897,0.9725,0.9997,0.0057,0.003,0.0087,2060.4,0.0,8941.0,38241.9,0.0,158636.0,0,1.3991,True,0.0092,0.0089,0.0004,0.9982,0.9472,1.0,,3000,TRUE,64.8,dem
20,constituency,early_out,marginal_null,234,0.9919,0.9777,0.9997,0.0037,0.003,0.0067,634.2,0.0,2831.0,11842.6,0.0,48533.0,0,1.1887,True,0.0046,0.0047,0.0008,0.9955,0.9952,0.9969,,3000,TRUE,49.2,dem
20,constituency,early_out,joint_null,234,0.9919,0.9778,0.9998,0.0039,0.0029,0.0068,368.9,0.0,1698.0,12506.5,0.0,51492.0,0,1.1418,True,0.0041,0.0039,0.0004,0.9901,0.9965,1.0,,3000,TRUE,49.6,dem
20,constituency,early_total,real,234,0.9603,0.9278,0.9886,0.0353,0.0031,0.0384,23426.4,0.0,108500.0,366447.2,0.0,1520814.2,0,1.4889,True,0.0262,0.0256,0.0007,0.9981,0.9949,1.0,,3000,TRUE,50.7,dem
20,constituency,early_total,marginal_null,234,0.9644,0.9213,0.9959,0.0312,0.003,0.0342,24706.6,0.0,114464.0,325867.3,0.0,1341912.6,0,2.3964,True,0.0473,0.0468,0.0005,0.9985,0.9983,0.9943,,3000,TRUE,49.6,dem
20,constituency,early_total,joint_null,234,0.9766,0.9496,0.9959,0.019,0.003,0.022,10756.4,0.0,50239.0,175006.2,0.0,759736.9,0,1.617,True,0.0211,0.0213,0.0002,0.9727,0.9951,0.9949,,3000,TRUE,49.6,dem
20,constituency,sameday,real,234,0.9928,0.9798,0.9998,0.003,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0054,False,0.0006,0.0006,0.0004,0.8074,0.9952,0.9989,,3000,TRUE,64.1,dem
