"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-04-01 ~ 2021-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"126","대구광역시 북구 사수동","833","0833","0000","금호서한이다음","99.8700","202104","30","46,400","-","11","-","-","2016","한강로 17","-","-","-","-"
"127","대구광역시 북구 매천동","741","0741","0000","매천센트럴파크","84.6700","202104","30","34,500","-","7","-","-","2008","매전로4길 9","-","-","-","-"
"128","부산광역시 부산진구 전포동","191-464","0191","0464","협성그린피아","76.8600","202104","30","17,000","-","5","-","-","1993","진남로356번길 51","-","-","-","-"
"129","대구광역시 달성군 유가읍 쌍계리","633","0633","0000","대구테크노폴리스중흥에스-클래스포디움","99.9819","202104","30","44,000","-","19","-","-","2018","테크노순환로 423","-","-","-","-"
"130","부산광역시 영도구 대평동1가","119","0119","0000","대동","40.0700","202104","30","4,800","-","3","-","-","1975","대평로19번길 12","-","-","-","-"
"131","대구광역시 북구 태전동","420-5","0420","0005","강북화성파크드림","128.2446","202104","30","44,000","-","3","-","-","2007","칠곡중앙대로 312","-","-","-","-"
"132","서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.4300","202104","30","225,000","-","14","-","-","1984","개포로 307","-","-","-","-"
"133","대전광역시 중구 목동","24","0024","0000","목양마을","84.8200","202104","30","38,900","-","2","-","-","2003","목동로 37","-","-","-","-"
"134","인천광역시 서구 왕길동","692-1","0692","0001","검단자이1단지","84.7430","202104","30","40,000","-","4","-","-","2010","버들로 27","-","-","-","-"
"135","인천광역시 서구 왕길동","273-5","0273","0005","원흥","84.9600","202104","30","19,800","-","2","-","-","1993","검단로 419","-","-","-","-"
"136","대전광역시 중구 문화동","141","0141","0000","한밭우성","84.9400","202104","30","31,000","-","4","-","-","1995","서문로 32","-","-","-","-"
"137","부산광역시 금정구 구서동","1027-1","1027","0001","구서우성","84.9700","202104","30","32,000","-","11","-","-","1994","금강로541번길 40","-","-","-","-"
"138","인천광역시 중구 중산동","1878-1","1878","0001","인천영종한양수자인","59.2156","202104","30","33,000","-","20","-","-","2012","은하수로 377","-","-","-","-"
"139","인천광역시 중구 중산동","1872-1","1872","0001","영종신명스카이뷰주얼리","56.6190","202104","30","25,800","-","16","-","-","2013","하늘달빛로 95","-","-","-","-"
"140","서울특별시 강서구 내발산동","674-20","0674","0020","A.G.S.드림","63.4600","202104","30","29,000","-","1","-","-","2003","우장산로8길 54","-","-","-","-"
"141","대전광역시 서구 만년동","281","0281","0000","상록수","43.2000","202104","30","18,000","-","3","-","-","1995","만년남로 8","-","-","-","-"
"142","서울특별시 관악구 신림동","1743","1743","0000","앰팰리스아파트","73.1330","202104","30","77,000","-","6","-","-","2020","신림로 194","20210617","-","-","-"
"143","서울특별시 관악구 신림동","1743","1743","0000","앰팰리스아파트","73.1330","202104","30","75,000","-","4","-","-","2020","신림로 194","-","-","-","-"
"144","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","58.9000","202104","30","63,000","-","5","-","-","1996","신림로3길 40","-","-","-","-"
"145","서울특별시 관악구 신림동","1714","1714","0000","삼성산주공(주공3단지)","58.5500","202104","30","59,900","-","24","-","-","2000","호암로 399","-","-","-","-"
"146","서울특별시 관악구 신림동","1715","1715","0000","우방","59.7400","202104","30","40,000","-","8","-","-","1999","관천로27길 2","-","-","-","-"
